date,day_of_year,releases,top_1_gross,top_10_gross,total_gross,year,day_of_month,is_weekend,total_gross_lag7,7_day_rolling_total,30_day_rolling_total,daily_returns,is_holiday,weekday_sin,weekday_cos,month_sin,month_cos,quarter_sin,quarter_cos,day_of_year_sin,day_of_year_cos,is_pandemic
2020-05-03,124,2,12605,15331,15331,2020,3,1,2455.0,12237.0,3779.6,-52.7506395044226,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.8460288880917339,-0.533137056031809,1
2020-05-04,125,2,7152,7739,7739,2020,4,0,1303.0,13156.42857142857,4018.1666666666665,-49.52057921857674,0,0.0,1.0,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.8367329140344921,-0.5476112038402312,1
2020-05-05,126,2,5966,6448,6448,2020,5,0,1464.0,13868.42857142857,4228.4,-16.68174182710944,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.8271893372462497,-0.5619233046832195,1
2020-05-06,127,2,8315,9050,9050,2020,6,0,1393.0,14962.285714285714,4525.866666666667,40.353598014888334,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.8174009818249189,-0.5760691233798758,1
2020-05-07,128,2,8345,8969,8969,2020,7,0,2009.0,15956.57142857143,4819.033333333334,-0.8950276243093969,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.8073707443023492,-0.5900444739548627,1
2020-05-08,129,4,24149,29655,29655,2020,8,0,31712.0,15662.714285714286,5798.233333333334,230.63886720927638,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.7971015927871943,-0.6038452208771035,1
2020-05-09,130,4,32653,39563,39563,2020,9,1,32447.0,16679.285714285714,7107.1,33.41089192379025,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.7865965660866021,-0.6174672802835514,1
2020-05-10,131,4,12806,15261,15261,2020,10,1,15331.0,16669.285714285714,7569.3,-61.426079923160536,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.7758587728069828,-0.6309066211876704,1
2020-05-11,132,4,9695,11672,11672,2020,11,0,7739.0,17231.14285714286,7919.566666666667,-23.517462813708146,0,0.0,1.0,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.7648913904341225,-0.6441592666722685,1
2020-05-12,133,3,11658,13062,13062,2020,12,0,6448.0,18176.0,8336.166666666666,11.908841672378333,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.753697664392914,-0.6572212950663319,1
2020-05-13,134,4,14043,15894,15894,2020,13,0,9050.0,19153.714285714286,8847.566666666668,21.68121267799725,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.742280907086982,-0.6700888411055113,1
2020-05-14,135,3,11267,13169,13169,2020,14,0,8969.0,19753.714285714286,9264.133333333333,-17.144834528752984,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.7306444969184916,-0.6827580970759147,1
2020-05-15,136,3,32243,44498,44498,2020,15,0,29655.0,21874.14285714286,10740.6,237.89961272685852,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.7187918772884232,-0.6952253139408722,1
2020-05-16,137,3,38774,52267,52267,2020,16,1,39563.0,23689.0,12458.633333333333,17.4592116499618,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.7067265555776158,-0.7074868024503348,1
2020-05-17,138,3,20958,27383,27383,2020,17,1,15261.0,25420.714285714286,13328.133333333333,-47.60939024623567,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.6944521021088763,-0.719538934232584,1
2020-05-18,139,3,12625,15884,15884,2020,18,0,11672.0,26022.428571428572,13792.033333333333,-41.99320746448526,0,0.0,1.0,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.6819721490904629,-0.7313781428679254,1
2020-05-19,140,3,14885,18916,18916,2020,19,0,13062.0,26858.714285714286,14356.566666666668,19.08839083354319,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.6692903895412567,-0.7430009249440493,1
2020-05-20,141,2,16124,20459,20459,2020,20,0,15894.0,27510.85714285714,15021.133333333333,8.157115669274685,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.6564105761979381,-0.7544038410927472,1
2020-05-21,142,3,14401,17868,17868,2020,21,0,13169.0,28182.14285714286,15576.733333333334,-12.664353096436775,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.6433365204044917,-0.765583517007675,1
2020-05-22,143,3,70195,71115,71115,2020,22,0,44498.0,31984.571428571428,17933.433333333334,298.0020147750168,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.6300720909843687,-0.7765366444428655,1
2020-05-23,144,3,84445,85161,85161,2020,23,1,52267.0,36683.71428571428,20725.133333333335,19.75110736131618,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.6166212130956382,-0.7872599821916922,1
2020-05-24,145,3,61648,62268,62268,2020,24,1,27383.0,41667.28571428572,22673.966666666667,-26.882023461443616,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.6029878670694714,-0.7977503570459932,1
2020-05-25,146,6,20046,21831,21831,2020,25,0,15884.0,42516.857142857145,23208.2,-64.94025823858162,1,0.0,1.0,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.5891760872322963,-0.8080046647350754,1
2020-05-26,147,3,19728,19811,19811,2020,26,0,18916.0,42644.71428571428,23786.733333333334,-9.252897256195315,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.5751899607119775,-0.8180198708443174,1
2020-05-27,148,3,18141,18243,18243,2020,27,0,20459.0,42328.142857142855,24351.4,-7.91479481096361,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.5610336262283677,-0.8277930117131022,1
2020-05-28,149,3,20462,20549,20549,2020,28,0,17868.0,42711.142857142855,24987.566666666666,12.640464835827437,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.5467112728685939,-0.8373211953118121,1
2020-05-29,150,4,63514,63815,63815,2020,29,0,71115.0,41668.28571428572,27068.3,210.55039174655704,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.5322271388474397,-0.8466016020976267,1
2020-05-30,151,5,78255,78500,78500,2020,30,1,85161.0,40716.71428571428,29618.0,23.011831074198863,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.5175855102531889,-0.8556314858488706,1
2020-05-31,152,4,33868,34151,34151,2020,31,1,62268.0,36700.0,29699.3,-56.49554140127388,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,0.5027907197793043,-0.8644081744776648,1
2020-06-01,153,4,10210,10501,10501,2020,1,0,21831.0,35081.42857142857,28967.766666666666,-69.25126643436504,0,0.0,1.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.4878471454423119,-0.8729290708206411,1
2020-06-02,154,4,10236,10630,10630,2020,2,0,19811.0,33769.857142857145,28811.066666666666,1.2284544329111524,0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.47275920928627757,-0.881191653407483,1
