date,total_gross
2016-06-05,214676123
2016-06-12,205032744
2016-06-19,296390468
2016-06-26,314734776
2016-07-03,290864900
2016-07-10,335768802
2016-07-17,267479415
2016-07-24,279818610
2016-07-31,289257193
2016-08-07,320284362
2016-08-14,270014947
2016-08-21,211128871
2016-08-28,169722146
2016-09-04,143571152
2016-09-11,148066538
2016-09-18,121775921
2016-09-25,134050768
2016-10-02,138144980
2016-10-09,137647484
2016-10-16,140873932
2016-10-23,156080892
2016-10-30,124841357
2016-11-06,220688642
2016-11-13,215442158
2016-11-20,195237179
2016-11-27,297413145
2016-12-04,134399069
2016-12-11,111219908
2016-12-18,240907999
2016-12-25,320684537
2017-01-01,472127410
2017-01-08,260510842
2017-01-15,201887377
2017-01-22,214036137
2017-01-29,189459280
2017-02-05,137714524
2017-02-12,217193362
2017-02-19,218744768
2017-02-26,191781677
2017-03-05,231740747
2017-03-12,224637105
2017-03-19,302154073
2017-03-26,288382813
2017-04-02,233387635
2017-04-09,171002865
2017-04-16,219405533
2017-04-23,166160496
2017-04-30,131532727
2017-05-07,222885621
2017-05-14,187461613
2017-05-21,162537398
2017-05-28,188978950
2017-06-04,259552051
2017-06-11,224761969
2017-06-18,255180288
2017-06-25,240642473
2017-07-02,242189195
2017-07-09,316068481
2017-07-16,258782934
2017-07-23,258540146
2017-07-30,235560798
2017-08-06,196746321
2017-08-13,175903630
2017-08-20,149813654
2017-08-27,108896228
2017-09-03,106097739
2017-09-10,197072797
2017-09-17,162448053
2017-09-24,152655037
2017-10-01,124468394
2017-10-08,132999484
2017-10-15,142277168
2017-10-22,125370657
2017-10-29,106928056
2017-11-05,210447228
2017-11-12,203822121
2017-11-19,240696592
2017-11-26,316293467
2017-12-03,147956188
2017-12-10,118115679
2017-12-17,306298210
2017-12-24,304303086
2017-12-31,480303490
2018-01-07,307109509
2018-01-14,212243264
2018-01-21,208090974
2018-01-28,188409846
2018-02-04,137067281
2018-02-11,172675893
2018-02-18,342739204
2018-02-25,325646242
2018-03-04,205843911
2018-03-11,186668172
2018-03-18,187921303
2018-03-25,178364627
2018-04-01,206198165
2018-04-08,230140092
2018-04-15,200127856
2018-04-22,171634846
2018-04-29,350161769
2018-05-06,270605958
2018-05-13,191881159
2018-05-20,252375283
2018-05-27,254098953
2018-06-03,199703516
2018-06-10,169830477
2018-06-17,330481753
2018-06-24,407555155
2018-07-01,307739078
2018-07-08,318853435
2018-07-15,253032006
2018-07-22,259580984
2018-07-29,253166229
2018-08-05,228844144
2018-08-12,224287412
2018-08-19,206631875
